titulo,artista,letra,tam_letra,idioma_detectado,sent_label,sent_score,sent_polarity
November Rain,Guns N' Roses,"When I look into your eyes I can see a love restrained But, darlin', when I hold you Don't you know I feel the same? 'Cause nothin' lasts forever And we both know hearts can change And it's hard to hold a candle In the cold November rain We've been through this such a long, long time Just tryin' to kill the pain, oh, yeah But lovers always come and lovers always go And no one's really sure who's lettin' go today Walking away If we could take the time To lay it on the line I could rest my head Just knowin' that you were mine All mine So, if you want to love me Then, darlin', don't refrain Or I'll just end up walkin' In the cold November rain Do you need some time on your own? Do you need some time all alone? Oh, everybody needs some time on their own Oh, don't you know you need some time all alone? I know it's hard to keep an open heart When even friends seem out to harm you But if you could heal a broken heart Wouldn't time be out to charm you? Sometimes I need some time on my own Sometimes I need some time all alone Oh, everybody needs some time on their own Oh, don't you know you need some time all alone? And when your fears subside And shadows still remain Oh, yeah I know that you can love me When there's no one left to blame So nevermind the darkness We still can find a way 'Cause nothin' lasts forever Even cold November rain Don't ya think that you need somebody? Don't ya think that you need someone? Everybody needs somebody You're not the only one You're not the only one Don't ya think that you need somebody? Don't ya think that you need someone? Everybody needs somebody You're not the only one You're not the only one Don't ya think that you need somebody? Don't ya think that you need someone? Everybody needs somebody You're not the only one You're not the only one Don't ya think that you need somebody? Don't ya think that you need someone? Everybody needs somebody",370,en,neutral,0.4680536985397339,0.0
What's Up?,4 Non Blondes,"Twenty-five years and my life is still Tryin' to get up that great big hill of hope For a destination I realized quickly when I knew I should That the world was made up of this brotherhood of man For whatever that means And so I cry sometimes when I'm lying in bed Just to get it all out what's in my head And I, I am feeling a little peculiar And so I wake in the morning and I step outside And I take a deep breath and I get real high And I scream from the top of my lungs: What's going on? And I say: Hey-ey-ey-ey-ey, hey-ey-ey I said: Hey! A-what's going on? And I say: Hey-ey-ey-ey-ey, hey-ey-ey I said: Hey! A-what's going on? And I try Oh my God, do I try I try all the time In this institution And I pray Oh my God, do I pray I pray every single day For a revolution And so I cry sometimes when I'm lying in bed Just to get it all out what's in my head And I, I am feeling a little peculiar And so I wake in the morning and I step outside And I take a deep breath and I get real high And I scream from the top of my lungs: What's going on? And I say: Hey-ey-ey-ey-ey, hey-ey-ey I said: Hey! A-what's going on? And I say: Hey-ey-ey-ey-ey, hey-ey-ey I said: Hey! A-what's going on? And I say: Hey-ey-ey-ey-ey, hey-ey-ey (wake in the morning and I step outside) Hey-ey-ey (take a deep breath and I get real high) I said: Hey! A-what's going on? And I say: Hey-ey-ey-ey-ey, hey-ey-ey (wake in the morning and I step outside) Hey-ey-ey (take a deep breath and I get real high) Yeah, yeah, yeah, I said: Hey! A-what's going on? Twenty-five years and my life is still Tryin' to get up that great big hill of hope For a destination, mm",327,en,neutral,0.4760145843029022,0.0
Creep,Radiohead,"When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fucking special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here I don't care if it hurts I wanna have control I want a perfect body I want a perfect soul I want you to notice When I'm not around You're so fucking special I wish I was special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here Oh, oh She's running out the door She's running out She run, run, run, run Run Whatever makes you happy Whatever you want You're so fucking special I wish I was special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here I don't belong here",167,en,negative,0.4338342547416687,-0.4338342547416687
Vienna,Billy Joel,"Slow down, you crazy child You're so ambitious for a juvenile But then if you're so smart Tell me why are you still so afraid? Where's the fire? What's the hurry about? You better cool it off before you burn it out You got so much to do and only so many hours in a day Ayy But you know that when the truth is told That you can get what you want or you can just get old You're gonna kick off before you even get halfway through When will you realize Vienna waits for you? Slow down, you're doing fine You can't be everything you wanna be before your time Although it's so romantic on the borderline tonight Tonight Too bad, but it's the life you lead You're so ahead of yourself that you forgot what you need Though you can see when you're wrong You know, you can't always see when you're right You're right You've got your passion, you've got your pride But don't you know that only fools are satisfied? Dream on, but don't imagine they'll all come true When will you realize Vienna waits for you? Slow down, you crazy child And take the phone off the hook and disappear for a while It's all right, you can afford to lose a day or two When will you realize Vienna waits for you? You know that when the truth is told That you can get what you want or you can just get old You're gonna kick off before you even get halfway through Why don't you realize Vienna waits for you? When will you realize Vienna waits for you?",276,en,neutral,0.42008623480796814,0.0
Yellow,Coldplay,"Look at the stars Look how they shine for you And everything you do Yeah, they were all yellow I came along I wrote a song for you And all the things you do And it was called Yellow So, then, I took my turn Oh, what a thing to have done And it was all yellow Your skin Oh, yeah, your skin and bones Turn into something beautiful Do you know You know I love you so? You know I love you so? I swam across I jumped across for you Oh, what a thing to do 'Cause you were all yellow I drew a line I drew a line for you Oh, what a thing to do And it was all yellow And your skin Oh, yeah, your skin and bones Turn into something beautiful Do you know For you, I'd bleed myself dry? For you, I'd bleed myself dry It's true Look how they shine for you Look how they shine for you Look how they shine for Look how they shine for you Look how they shine for you Look how they shine Look at the stars Look how they shine for you And all the things that you do",204,en,positive,0.439252644777298,0.439252644777298
Iris,Goo Goo Dolls,"And I'd give up forever to touch you 'Cause I know that you feel me somehow You're the closest to heaven that I'll ever be And I don't wanna go home right now And all I can taste is this moment And all I can breathe is your life And sooner or later it's over I just don't wanna miss you tonight And I don't want the world to see me 'Cause I don't think that they'd understand When everything's made to be broken I just want you to know who I am And you can't fight the tears that ain't coming Or the moment of truth in your lies When everything feels like the movies Yeah, you bleed just to know you're alive And I don't want the world to see me 'Cause I don't think that they'd understand When everything's made to be broken I just want you to know who I am And I don't want the world to see me 'Cause I don't think that they'd understand When everything's made to be broken I just want you to know who I am I just want you to know who I am I just want you to know who I am",204,en,neutral,0.5202630758285522,0.0
Memories,Justin Lee,"Do you recall when we drove So far from home, down winding roads? With no one around, you said to me We found our town Burning your skin on the beach Till the waves crashing in, we fell asleep These days that we've shared I will not ever forget, mm-mm 'Cause I'll be holding unto these moments Like the shore to the sea And I'll be thinking, reminiscing About these memories We chase a new day of the alpine We watch the Sun paint the morning sky Remember that time when we stayed up talking All night, all night? So I'll be holding tho these moments Like the shore to the sea And I'll be thinking, just reminiscing About these memories Ooh-ooh-ooh-ooh-ooh Ooh-ooh-ooh-ooh-ooh Ooh-ooh-ooh-ooh-ooh-ooh",124,en,neutral,0.509740948677063,0.0
Sweet Child O' Mine,Guns N' Roses,"She's got a smile that it seems to me Reminds me of childhood memories Where everything was as fresh as the bright blue sky (sky, sky) Now and then when I see her face She takes me away to that special place And if I stared too long, I'd probably break down and cry Woah, oh, oh, sweet child of mine Woah, oh, oh, oh, sweet love of mine She's got eyes of the bluest skies As if they thought of rain I'd hate to look into those eyes and see an ounce of pain Her hair reminds me of a warm, safe place Where, as a child, I'd hide And pray for the thunder and the rain to quietly pass me by Woah, oh, oh, sweet child of mine Woah-woah, oh, oh, oh, sweet love of mine Woah, oh, oh, oh, sweet child of mine (ooh, yeah, yeah) Ooh, sweet love of mine Where do we go? Where do we go now? Where do we go? Mm-mm, oh, where do we go? Where do we go now? Oh, where do we go now? Where do we go? Sweet child, where do we go now? Aye, aye, aye, aye, aye, aye, aye, aye (where do we go?) Ooh, where do we go now? Oh-oh-oh-oh-oh, oh, woah, where do we go? Oh-oh, where do we go now? Oh, where do we go? Where do we go now? Where do we go? Woah-oh, where do we go now? No, no, no, no, no, no, no Sweet child, sweet child of mine",259,en,positive,0.40121719241142273,0.40121719241142273
In The End,Linkin Park,"(It starts with one) One thing, I don't know why It doesn't even matter how hard you try Keep that in mind, I designed this rhyme To explain in due time (all I know) Time is a valuable thing Watch it fly by as the pendulum swings Watch it count down to the end of the day The clock ticks life away, it's so unreal (it's so unreal) You didn't look out below Watch the time go right out the window Trying to hold on, to didn't even know I wasted it all just to watch you go (watch you go) I kept everything inside And even though I tried, it all fell apart What it meant to me will eventually Be a memory of a time when I tried so hard and got so far But in the end, it doesn't even matter I had to fall to lose it all But in the end, it doesn't even matter One thing, I don't know why It doesn't even matter how hard you try Keep that in mind I designed this rhyme To remind myself how I tried so hard (I tried so hard) In spite of the way you were mocking me Acting like I was part of your property Remembering all the times you fought with me I'm surprised it got so far (got so far) Things aren't the way they were before You wouldn't even recognize me anymore Not that you knew me back then But it all comes back to me (in the end) You kept everything inside And even though I tried, it all fell apart What it meant to me will eventually Be a memory of a time when I tried so hard and got so far But in the end, it doesn't even matter I had to fall to lose it all But in the end, it doesn't even matter I've put my trust in you Pushed as far as I can go For all this There's only one thing you should know I've put my trust in you Pushed as far as I can go For all this There's only one thing you should know I tried so hard and got so far But in the end, it doesn't even matter I had to fall to lose it all But in the end, it doesn't even matter",395,en,neutral,0.48794442415237427,0.0
Believer,Imagine Dragons,"First things first I'ma say all the words inside my head I'm fired up and tired of the way That things have been, oh-ooh The way that things have been, oh-ooh Second things second Don't you tell me what you think that I could be I'm the one at the sail, I'm the master of my sea, oh-ooh The master of my sea, oh-ooh I was broken from a young age Taking my sulking to the masses Writing my poems for the few That look at me, took to me, shook to me, feeling me Singing from heartache from the pain Taking my message from the veins Speaking my lesson from the brain Seeing the beauty through the Pain! You made me a, you made me a believer, believer Pain! You break me down and build me up, believer, believer Pain! Oh, let the bullets fly, oh, let them rain My life, my love, my drive, it came from Pain! You made me a, you made me a believer, believer Third things third Send a prayer to the ones up above All the hate that you've heard Has turned your spirit to a dove, oh-ooh Your spirit up above, oh-ooh I was choking in the crowd Building my rain up in the cloud Falling like ashes to the ground Hoping my feelings, they would drown But they never did, ever lived, ebbing and flowing Inhibited, limited Till it broke open and rained down And rained down, like Pain! You made me a, you made me a believer, believer Pain! You break me down and build me up, believer, believer Pain! Oh, let the bullets fly, oh, let them rain My life, my love, my drive, it came from Pain! You made me a, you made me a believer, believer Last things last By the grace of the fire and the flames You're the face of the future The blood in my veins, oh-ooh The blood in my veins, oh-ooh But they never did, ever lived, ebbing and flowing Inhibited, limited Till it broke open and rained down And rained down, like Pain! You made me a, you made me a believer, believer Pain! You break me down and build me up, believer, believer Pain! Oh, let the bullets fly, oh, let them rain My life, my love, my drive, it came from Pain! You made me a, you made me a believer, believer",403,en,negative,0.38607800006866455,-0.38607800006866455
